id,word,deng,ji,situation,wfreq,sfreq,newlink,bopomofo,pinyin
1669,破壞,進階,第4級,核心詞,71,116,"[['破壞', ['2483']]]",ㄆㄛˋ ㄏㄨㄞˋ,pò huài
1670,普遍,進階,第4級,核心詞,57,44,"[['普遍', ['3488']]]",ㄆㄨˇ ㄅㄧㄢˋ,pǔ biàn
1671,普通,進階,第4級,核心詞,48,28,"[['普通', ['3494']]]",ㄆㄨˇ ㄊㄨㄥ,pǔ tōng
1672,起飛,進階,第4級,交通、旅遊,12,5,"[['起飛', ['24575']]]",ㄑㄧˇ ㄈㄟ,qǐ fēi
1673,氣候,進階,第4級,交通、旅遊,27,261,"[['氣候', ['24693']]]",ㄑㄧˋ ㄏㄡˋ,qì hòu
1674,氣溫,進階,第4級,交通、旅遊,12,47,"[['氣溫', ['24724']]]",ㄑㄧˋ ㄨㄣ,qì wēn
1675,鉛筆,進階,第4級,購物、商店,12,13,"[['鉛筆', ['25112']]]",ㄑㄧㄢ ㄅㄧˇ,qiān bǐ
1676,簽名,進階,第4級,教育、學習,15,12,"[['簽名', ['25123']]]",ㄑㄧㄢ ㄇㄧㄥˊ,qiān míng
1677,槍,進階,第4級,安全,53,21,"[['槍', ['25435']]]",ㄑㄧㄤ,qiāng
1678,強1,進階,第4級,核心詞,141,158,"[['強', ['23528', '25459', '25503']]]",ㄑㄧㄤˊ,qiáng
1679,搶,進階,第4級,安全,39,30,"[['搶', ['25434', '25520']]]",ㄑㄧㄤˇ,qiǎng
1680,橋,進階,第4級,交通、旅遊,49,70,"[['橋', ['24887']]]",ㄑㄧㄠˊ,qiáo
1681,切,進階,第4級,餐飲、烹飪,21,48,"[['切', ['24798', '24816']]]",ㄑㄧㄝ,qiē
1682,親戚,進階,第4級,個人資料,37,30,"[['親戚', ['25358']]]",ㄑㄧㄣ ㄑㄧ,qīn qī
1683,親切,進階,第4級,社交、人際,31,15,"[['親切', ['25359']]]",ㄑㄧㄣ ㄑㄧㄝˋ,qīn qiè
1684,青少年,進階,第4級,社會,74,26,"[['青少年', ['25572']]]",ㄑㄧㄥ ㄕㄠˋ ㄋㄧㄢˊ,qīng shào nián
1685,情況,進階,第4級,核心詞,340,241,"[['情況', ['25758']]]",ㄑㄧㄥˊ ㄎㄨㄤˋ,qíng kuàng
1686,請假,進階,第4級,職業,6,9,"[['請假', ['25812']]]",ㄑㄧㄥˇ ㄐㄧㄚˋ,qǐng jià
1687,慶祝,進階,第4級,社交、人際,18,31,"[['慶祝', ['25831']]]",ㄑㄧㄥˋ ㄓㄨˋ,qìng zhù
1688,窮,進階,第4級,核心詞,43,28,"[['窮', ['26184']]]",ㄑㄩㄥˊ,qióng
1689,球隊,進階,第4級,休閒、娛樂,24,4,"[['球隊', ['25027']]]",ㄑㄧㄡˊ ㄉㄨㄟˋ,qiú duì
1690,球賽,進階,第4級,休閒、娛樂,9,1,"[['球賽', ['25035']]]",ㄑㄧㄡˊ ㄙㄞˋ,qiú sài
1691,區,進階,第4級,日常起居,18,82,"[['區', ['25871', '39640']]]",ㄑㄩ,qū
1692,全家,進階,第4級,個人資料,16,25,"[['全家', ['26052']]]",ㄑㄩㄢˊ ㄐㄧㄚ,quán jiā
1693,權利,進階,第4級,社會,41,27,"[['權利', ['26114']]]",ㄑㄩㄢˊ ㄌㄧˋ,quán lì
1694,全球,進階,第4級,核心詞,91,441,"[['全球', ['26056']]]",ㄑㄩㄢˊ ㄑㄧㄡˊ,quán qiú
1695,全身,進階,第4級,身體、醫療,16,7,"[['全身', ['26069']]]",ㄑㄩㄢˊ ㄕㄣ,quán shēn
1696,卻,進階,第4級,核心詞,1310,602,"[['卻', ['25998']]]",ㄑㄩㄝˋ,què
1697,確定,進階,第4級,核心詞,158,79,"[['確定', ['26010']]]",ㄑㄩㄝˋ ㄉㄧㄥˋ,què dìng
1698,群/羣,進階,第4級,核心詞,173,197,"[['群', ['26160']]]",ㄑㄩㄣˊ,qún
1699,熱門,進階,第4級,購物、商店,12,15,"[['熱門', ['35922']]]",ㄖㄜˋ ㄇㄣˊ,rè mén
1700,熱情,進階,第4級,社交、人際,78,67,"[['熱情', ['35945']]]",ㄖㄜˋ ㄑㄧㄥˊ,rè qíng
1701,熱心,進階,第4級,核心詞,19,20,"[['熱心', ['35949']]]",ㄖㄜˋ ㄒㄧㄣ,rè xīn
1702,人才,進階,第4級,職業,72,12,"[['人才', ['36175']]]",ㄖㄣˊ ㄘㄞˊ,rén cái
1703,人口,進階,第4級,交通、旅遊,66,148,"[['人口', ['36097']]]",ㄖㄣˊ ㄎㄡˇ,rén kǒu
1704,人數,進階,第4級,交通、旅遊,45,73,"[['人數', ['36165']]]",ㄖㄣˊ ㄕㄨˋ,rén shù
1705,人行道,進階,第4級,交通、旅遊,11,3,"[['人行道', ['36134']]]",ㄖㄣˊ ㄒㄧㄥˊ ㄉㄠˋ,rén xíng dào
1706,仍然/仍,進階,第4級,核心詞,522,141,"[['仍然', ['36310']], ['仍', ['36308']]]",ㄖㄥˊ ㄖㄢˊ/ㄖㄥˊ,réng rán/réng
1707,日期,進階,第4級,核心詞,22,9,"[['日期', ['35884']]]",ㄖˋ ㄑㄧˊ,rì qí
1708,日圓,進階,第4級,公共服務,16,3,[],ㄖˋ ㄩㄢˊ,rì yuán
1709,肉鬆,進階,第4級,,1,1,"[['肉鬆', ['36028']]]",ㄖㄡˋ ㄙㄨㄥ,ròu sōng
1710,軟,進階,第4級,核心詞,31,40,"[['軟', ['36518']]]",ㄖㄨㄢˇ,ruǎn
1711,塞車,進階,第4級,交通、旅遊,3,4,"[['塞車', ['38772']]]",ㄙㄞ ㄔㄜ,sāi chē
1712,掃,進階,第4級,日常起居,16,35,"[['掃', ['38799', '38815']]]",ㄙㄠˇ,sǎo
1713,掃地,進階,第4級,日常起居,6,10,"[['掃地', ['38803']]]",ㄙㄠˇ ㄉㄧˋ,sǎo dì
1714,森林,進階,第4級,交通、旅遊,56,114,"[['森林', ['38952']]]",ㄙㄣ ㄌㄧㄣˊ,sēn lín
1715,殺,進階,第4級,安全,217,56,"[['殺', ['33833', '34015']]]",ㄕㄚ,shā
1716,傷,進階,第4級,身體、醫療,47,46,"[['傷', ['34829']]]",ㄕㄤ,shāng
1717,商量,進階,第4級,核心詞,30,10,"[['商量', ['34806']]]",ㄕㄤ ㄌㄧㄤˊ,shāng liáng
1718,上班族,進階,第4級,職業,10,13,[],ㄕㄤˋ ㄅㄢ ㄗㄨˊ,shàng bān zú
1719,燒,進階,第4級,核心詞,63,88,"[['燒', ['34030']]]",ㄕㄠ,shāo
1720,少數,進階,第4級,核心詞,67,41,"[['少數', ['34061']]]",ㄕㄠˇ ㄕㄨˋ,shǎo shù
1721,設備,進階,第4級,日常起居,53,50,"[['設備', ['33977']]]",ㄕㄜˋ ㄅㄟˋ,shè bèi
1722,申請,進階,第4級,核心詞,34,38,"[['申請', ['34571']]]",ㄕㄣ ㄑㄧㄥˇ,shēn qǐng
1723,神,進階,第4級,文化,173,69,"[['神', ['34682']]]",ㄕㄣˊ,shén
1724,生,進階,第4級,個人資料,235,236,"[['生', ['35004']]]",ㄕㄥ,shēng
1725,生詞,進階,第4級,教育、學習,1,0,"[['生詞', ['35084']]]",ㄕㄥ ㄘˊ,shēng cí
1726,聲調,進階,第4級,教育、學習,9,1,"[['聲調', ['35125']]]",ㄕㄥ ㄉㄧㄠˋ,shēng diào
1727,省,進階,第4級,核心詞,57,114,"[['省', ['28279', '35167']]]",ㄕㄥˇ,shěng
1728,剩,進階,第4級,核心詞,33,40,"[['剩', ['35187']]]",ㄕㄥˋ,shèng
1729,剩下,進階,第4級,核心詞,65,93,"[['剩下', ['35188']]]",ㄕㄥˋ ㄒㄧㄚˋ,shèng xià
1730,失敗,進階,第4級,教育、學習,139,57,"[['失敗', ['33128']]]",ㄕ ㄅㄞˋ,shī bài
1731,溼度/濕度,進階,第4級,自然環境,6,23,"[['溼度', ['33240']]]",ㄕ ㄉㄨˋ,shī dù
1732,時常,進階,第4級,核心詞,33,22,"[['時常', ['33394']]]",ㄕˊ ㄔㄤˊ,shí cháng
1733,十分,進階,第4級,核心詞,234,59,"[['十分', ['33267']]]",ㄕˊ ㄈㄣ,shí fēn
1734,石頭/石,進階,第4級,交通、旅遊,130,147,"[['石頭', ['33306']], ['石', ['7960', '33295']]]",ㄕˊ ˙ㄊㄡ/ㄕˊ,shí tou/shí
1735,使用,進階,第4級,核心詞,371,387,"[['使用', ['33477']]]",ㄕˇ ㄩㄥˋ,shǐ yòng
1736,世紀,進階,第4級,核心詞,47,62,"[['世紀', ['33579']]]",ㄕˋ ㄐㄧˋ,shì jì
1737,事實,進階,第4級,核心詞,317,249,"[['事實', ['33662']]]",ㄕˋ ㄕˊ,shì shí
1738,收入,進階,第4級,職業,50,90,"[['收入', ['34132']]]",ㄕㄡ ㄖㄨˋ,shōu rù
1739,首都,進階,第4級,核心詞,35,65,"[['首都', ['34267']]]",ㄕㄡˇ ㄉㄨ,shǒu dū
1740,首先,進階,第4級,核心詞,112,141,"[['首先', ['34280']]]",ㄕㄡˇ ㄒㄧㄢ,shǒu xiān
1741,手指頭/手指/指頭,進階,第4級,身體、醫療,82,25,[],ㄕㄡˇ ㄓˇ ˙ㄊㄡ/ㄕㄡˇ ㄓˇ/ㄓˇ ˙ㄊㄡ,shǒu zhǐ tou/shǒu zhǐ/zhǐ tou
1742,受,進階,第4級,核心詞,424,251,"[['受', ['34293']]]",ㄕㄡˋ,shòu
1743,受不了,進階,第4級,核心詞,28,25,"[['受不了', ['34294']]]",ㄕㄡˋ ㄅㄨˋ ㄌㄧㄠˇ,shòu bù liǎo
1744,受到,進階,第4級,核心詞,253,265,[],ㄕㄡˋ ㄉㄠˋ,shòu dào
1745,受傷,進階,第4級,身體、醫療,56,80,"[['受傷', ['34329']]]",ㄕㄡˋ ㄕㄤ,shòu shāng
1746,輸,進階,第4級,休閒、娛樂,36,37,"[['輸', ['35352']]]",ㄕㄨ,shū
1747,蔬菜,進階,第4級,餐飲、烹飪,23,148,"[['蔬菜', ['35308']]]",ㄕㄨ ㄘㄞˋ,shū cài
1748,數量,進階,第4級,購物、商店,49,76,"[['數量', ['35461']]]",ㄕㄨˋ ㄌㄧㄤˋ,shù liàng
1749,樹木,進階,第4級,核心詞,23,43,"[['樹木', ['35476']]]",ㄕㄨˋ ㄇㄨˋ,shù mù
1750,數字,進階,第4級,科技,81,54,"[['數字', ['35466']]]",ㄕㄨˋ ㄗˋ,shù zì
1751,水準,進階,第4級,休閒、娛樂,41,16,"[['水準', ['35678']]]",ㄕㄨㄟˇ ㄓㄨㄣˇ,shuǐ zhǔn
1752,順便,進階,第4級,核心詞,23,30,"[['順便', ['35760']]]",ㄕㄨㄣˋ ㄅㄧㄢˋ,shùn biàn
1753,順利,進階,第4級,核心詞,70,72,"[['順利', ['35767']]]",ㄕㄨㄣˋ ㄌㄧˋ,shùn lì
1754,說出,進階,第4級,核心詞,73,16,[],ㄕㄨㄛ ㄔㄨ,shuō chū
1755,說法,進階,第4級,核心詞,116,45,"[['說法', ['35520']]]",ㄕㄨㄛ ㄈㄚˇ,shuō fǎ
1756,說明,進階,第4級,核心詞,183,76,"[['說明', ['35517']]]",ㄕㄨㄛ ㄇㄧㄥˊ,shuō míng
1757,鬆,進階,第4級,核心詞,28,30,"[['鬆', ['39291']]]",ㄙㄨㄥ,sōng
1758,塑膠,進階,第4級,購物、商店,21,96,"[['塑膠', ['39090']]]",ㄙㄨˋ ㄐㄧㄠ,sù jiāo
1759,素食,進階,第4級,餐飲、烹飪,6,57,"[['素食', ['39032']]]",ㄙㄨˋ ㄕˊ,sù shí
1760,隨便,進階,第4級,核心詞,42,55,"[['隨便', ['39173']]]",ㄙㄨㄟˊ ㄅㄧㄢˋ,suí biàn
1761,隨身碟,進階,第4級,科技,0,0,[],ㄙㄨㄟˊ ㄕㄣ ㄉㄧㄝˊ,suí shēn dié
1762,隨時,進階,第4級,核心詞,90,66,"[['隨時', ['39186']]]",ㄙㄨㄟˊ ㄕˊ,suí shí
1763,牠,進階,第4級,核心詞,343,659,"[['牠', ['9925']]]",ㄊㄚ,tā
1764,態度,進階,第4級,核心詞,232,124,"[['態度', ['10147']]]",ㄊㄞˋ ㄉㄨˋ,tài dù
1765,攤子,進階,第4級,購物、商店,5,3,"[['攤子', ['10448']]]",ㄊㄢ ˙ㄗ,tān zi
1766,躺,進階,第4級,核心詞,82,30,"[['躺', ['10647']]]",ㄊㄤˇ,tǎng
1767,趟,進階,第4級,交通、旅遊,50,72,"[['趟', ['10652']]]",ㄊㄤˋ,tàng
1768,燙,進階,第4級,餐飲、烹飪,12,36,"[['燙', ['10653']]]",ㄊㄤˋ,tàng
1769,討厭,進階,第4級,核心詞,56,30,"[['討厭', ['10246']]]",ㄊㄠˇ ㄧㄢˋ,tǎo yàn
1770,特色,進階,第4級,核心詞,52,73,"[['特色', ['10029']]]",ㄊㄜˋ ㄙㄜˋ,tè sè
1771,疼痛,進階,第4級,身體、醫療,63,17,"[['疼痛', ['10660']]]",ㄊㄥˊ ㄊㄨㄥˋ,téng tòng
1772,提到,進階,第4級,核心詞,129,167,[],ㄊㄧˊ ㄉㄠˋ,tí dào
1773,提醒,進階,第4級,核心詞,89,102,"[['提醒', ['10732']]]",ㄊㄧˊ ㄒㄧㄥˇ,tí xǐng
1774,體力,進階,第4級,身體、醫療,31,39,"[['體力', ['10787']]]",ㄊㄧˇ ㄌㄧˋ,tǐ lì
1775,填,進階,第4級,核心詞,16,16,"[['填', ['11284']]]",ㄊㄧㄢˊ,tián
1776,挑1,進階,第4級,核心詞,45,64,"[['挑', ['10951', '11024']]]",ㄊㄧㄠ,tiāo
1777,條件,進階,第4級,核心詞,135,114,"[['條件', ['10976']]]",ㄊㄧㄠˊ ㄐㄧㄢˋ,tiáo jiàn
1778,貼,進階,第4級,核心詞,46,48,"[['貼', ['10856']]]",ㄊㄧㄝ,tiē
1779,鐵路,進階,第4級,交通、旅遊,28,42,"[['鐵路', ['10897']]]",ㄊㄧㄝˇ ㄌㄨˋ,tiě lù
1780,停止,進階,第4級,身體、醫療,99,62,"[['停止', ['11365']]]",ㄊㄧㄥˊ ㄓˇ,tíng zhǐ
1781,通常,進階,第4級,核心詞,224,190,"[['通常', ['11921']]]",ㄊㄨㄥ ㄔㄤˊ,tōng cháng
1782,通過,進階,第4級,核心詞,96,93,"[['通過', ['11883']]]",ㄊㄨㄥ ㄍㄨㄛˋ,tōng guò
1783,通知,進階,第4級,核心詞,33,19,"[['通知', ['11918']]]",ㄊㄨㄥ ㄓ,tōng zhī
1784,同事,進階,第4級,職業,82,34,"[['同事', ['12008']]]",ㄊㄨㄥˊ ㄕˋ,tóng shì
1785,痛苦,進階,第4級,情緒、態度,152,72,"[['痛苦', ['12114']]]",ㄊㄨㄥˋ ㄎㄨˇ,tòng kǔ
1786,投,進階,第4級,核心詞,23,17,"[['投', ['10287']]]",ㄊㄡˊ,tóu
1787,突然,進階,第4級,核心詞,277,117,"[['突然', ['11422']]]",ㄊㄨˊ ㄖㄢˊ,tú rán
1788,土,進階,第4級,核心詞,39,125,"[['土', ['11493']]]",ㄊㄨˇ,tǔ
1789,土地,進階,第4級,社會,106,331,"[['土地', ['11506']]]",ㄊㄨˇ ㄉㄧˋ,tǔ dì
1790,團體,進階,第4級,社會,111,120,"[['團體', ['11821']]]",ㄊㄨㄢˊ ㄊㄧˇ,tuán tǐ
1791,推,進階,第4級,核心詞,58,64,"[['推', ['11689']]]",ㄊㄨㄟ,tuī
1792,推薦,進階,第4級,教育、學習,52,16,"[['推薦', ['11711']]]",ㄊㄨㄟ ㄐㄧㄢˋ,tuī jiàn
1793,退步,進階,第4級,教育、學習,5,5,"[['退步', ['11763']]]",ㄊㄨㄟˋ ㄅㄨˋ,tuì bù
1794,退休,進階,第4級,職業,72,81,"[['退休', ['11786']]]",ㄊㄨㄟˋ ㄒㄧㄡ,tuì xiū
1795,瓦斯,進階,第4級,日常起居,6,17,"[['瓦斯', ['43121']]]",ㄨㄚˇ ㄙ,wǎ sī
1796,外語,進階,第4級,個人資料,6,3,"[['外語', ['43279']]]",ㄨㄞˋ ㄩˇ,wài yǔ
1797,玩具,進階,第4級,核心詞,46,64,"[['玩具', ['43682']]]",ㄨㄢˊ ㄐㄩˋ,wán jù
1798,網,進階,第4級,核心詞,61,54,"[['網', ['44041']]]",ㄨㄤˇ,wǎng
1799,網友,進階,第4級,休閒、娛樂,5,10,[],ㄨㄤˇ ㄧㄡˇ,wǎng yǒu
1800,偉大,進階,第4級,文化,76,38,"[['偉大', ['43496']]]",ㄨㄟˇ ㄉㄚˋ,wěi dà
1801,未來,進階,第4級,核心詞,217,292,"[['未來', ['43518']]]",ㄨㄟˋ ㄌㄞˊ,wèi lái
1802,溫度,進階,第4級,核心詞,33,230,"[['溫度', ['43814']]]",ㄨㄣ ㄉㄨˋ,wēn dù
